"Ubuntu","Ubuntu es un sistema operativo GNU/Linux basado en Debian, ofrece software gratuito además de buscar crear un escritorio linux fácil de usar.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/UBUNTO.png","https://ubuntu.com/download/desktop"
"Sublime Text","Sublime Text es un editor de texto para escribir código y visualizarlo en múltiples lenguajes, cuenta con su versión de evaluación sin que esto afecte su funcionamiento.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/Sublime%20Text%20larga.png","https://www.sublimetext.com/3"
"Matlab","Matlab es una plataforma de programación y cálculo numérico utilizada para analizar datos, desarrollar algoritmos y crear modelos.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/Matlab%20grande.png","https://es.mathworks.com/products/matlab.html"
"Fedora","Fedora es un Proyecto que está soportado mediante una comunidad de personas que colaboran mediante código abierto, también en la página oficial puedes trabajar con diferentes versiones de su sistema operativo de GNU/Linux el cual es publico y libre para que se use, modifique y distribuya.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_fedora.png","https://getfedora.org/es/workstation/download/"
"Python","Python es un lenguaje de programación interpretado, orientado a objetos y su compatibilidad le permite al programador integrarlo en una aplicación para proporcionar una interfaz programable.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_python.png","https://www.python.org/downloads"
"Java","Java es una plataforma y lenguaje de programación, mediante el cual uno puede ejecutar aplicaciones desarrolladas en ese lenguaje sin importar el hardware o sistema operativo que se emplee en ese momento.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_javaoracle.png","https://www.java.com/es/download/"
"Visual Studio","Visual Studio es un entorno de desarrollo integrado (IDE) para Windows y macOS, cuenta con herramientas para trabajar con Kubernetes y el desarrollo de aplicaciones en la nube.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_visual.png","https://visualstudio.microsoft.com/es/downloads/"
"R Studio","R Studio es un entorno de desarrollo integrado (IDE) y lenguaje de programación cuya especialización es la computación estadística, investigación científica, creación de gráficos y el desarrollo de software gratuito y de codigo abierto para la ciencia de datos.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_r.png","https://www.rstudio.com/products/rstudio/"
"Dev C++","Dev C++ es un entorno de desarrollo integrado (IDE) para programar en lenguaje C/C++.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_devc.png","https://www.bloodshed.net/"
"Android Studio","Android Studio es un entorno de desarrollo integrado (IDE) para el desarrollo de aplicaciones para Android.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_android.png","https://developer.android.com/studio#downloads"
"Arduino","Arduino es un entorno de desarrollo integrado (IDE) para escribir y cargar programas en placas compatibles con Arduino.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_arduino.png","https://www.arduino.cc/en/software"
"Debian","Debian es un sistema operativo y una distribución GNU/Linux de Software Libre.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_debian.png","https://www.debian.org/index.es.html"
"Linux Mint","Linux Mint es un sistema operativo y una distribución GNU/Linux de Software Libre basado en Ubuntu.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_mint.png","https://linuxmint.com/download.php"
"GitHub","Github es un sistema de control de versiones el cual ademas cuenta con herramientas para alojar los proyectos, compartirlos y manipularlos con una interfaz gráfica.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_github.png","https://github.com/"
"Latex","Latex es un sistema de composición tipográfica de textos, orientado a la creación de documentos científicos.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_latex.png","https://es.overleaf.com/"
"Blender","Blender es un programa especializado en el modelado, iluminación, renderizado, animación y creación de gráficos tridimensionales.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_blender.png","https://www.blender.org/download/"
"SQL Server","SQL es un sistema de gestión de base de datos relacional, desarrollado por la empresa Microsoft.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_sql.png","https://www.microsoft.com/es-mx/sql-server/sql-server-downloads"
"PHP","PHP es un lenguaje de programación de uso general que se adapta especialmente al desarrollo web.​","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_php.png","https://www.php.net/downloads.php"
"Angular","Angular es un framework para aplicaciones web desarrollado en TypeScript, de código abierto, mantenido por Google.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_angular.png","https://angular.io/"
"Telegram","Telegram es una plataforma de mensajería y VOIP,una de sus ventajas es la comunicacion y envio de archivos a grandes grupos de personas.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_telegram.png","https://telegram.org/"
"HTML5","HTML5 es la version 5 del lenguaje de marcado para la elaboración de páginas web.","https://raw.githubusercontent.com/ConocimientoAntiguo/IMAPU/main/imagenes%20app%202021/l_html.png","https://lenguajehtml.com/html/"
